id,duration,timeLoss,departLane
veh1,79.00,44.44,E5_0
veh0,82.00,46.88,E5_0
veh3,75.00,40.55,E5_0
veh2,78.00,43.24,E5_0
veh5,71.00,36.39,E5_0
veh4,74.00,39.14,E5_0
veh7,67.00,32.24,E5_0
veh6,70.00,34.90,E5_0
veh8,65.00,30.79,E5_0
veh9,63.00,28.14,E5_0
veh10,61.00,26.48,E5_0
veh11,59.00,24.26,E5_0
veh12,57.00,22.32,E5_0
veh13,55.00,20.18,E5_0
veh15,95.00,60.24,E5_0
veh14,98.00,63.02,E5_0
veh17,91.00,56.20,E5_0
veh16,94.00,58.97,E5_0
veh19,87.00,52.44,E5_0
veh18,90.00,54.92,E5_0
veh20,85.00,50.76,E5_0
veh21,83.00,48.52,E5_0
veh22,81.00,46.73,E5_0
veh23,79.00,44.63,E5_0
veh24,77.00,42.59,E5_0
veh25,75.00,40.68,E5_0
veh26,73.00,38.58,E5_0
veh27,72.00,36.88,E5_0
veh29,111.00,76.11,E5_0
veh28,114.00,79.15,E5_0
veh31,107.00,72.41,E5_0
veh30,111.00,75.84,E5_0
veh33,102.00,67.35,E5_0
veh32,105.00,70.75,E5_0
veh35,98.00,63.36,E5_0
veh34,101.00,66.71,E5_0
veh36,97.00,62.58,E5_0
veh37,95.00,59.89,E5_0
veh38,93.00,58.48,E5_0
veh39,91.00,56.00,E5_0
veh40,88.00,53.64,E5_0
veh41,87.00,52.00,E5_0
veh43,124.00,89.67,E5_0
veh42,128.00,93.17,E5_0
veh45,120.00,85.09,E5_0
veh44,123.00,88.17,E5_0
veh47,116.00,81.19,E5_0
veh46,119.00,84.07,E5_0
veh49,112.00,77.29,E5_0
veh48,115.00,80.34,E5_0
veh51,108.00,73.19,E5_0
veh50,111.00,76.33,E5_0
veh53,104.00,69.01,E5_0
veh52,107.00,72.42,E5_0
veh55,100.00,64.81,E5_0
veh54,103.00,68.36,E5_0
veh56,143.00,108.23,E5_0
veh57,141.00,106.03,E5_0
veh58,138.00,103.12,E5_0
veh59,136.00,101.14,E5_0
veh60,134.00,99.04,E5_0
veh61,132.00,97.00,E5_0
veh62,129.00,93.98,E5_0
veh63,127.00,91.95,E5_0
veh64,125.00,90.16,E5_0
veh65,123.00,87.87,E5_0
veh67,118.00,83.75,E5_0
veh66,121.00,85.99,E5_0
veh69,114.00,79.50,E5_0
veh68,117.00,81.87,E5_0
veh71,154.00,119.45,E5_0
veh70,157.00,122.09,E5_0
veh73,149.00,114.34,E5_0
veh72,153.00,118.12,E5_0
veh75,145.00,110.41,E5_0
veh74,148.00,112.98,E5_0
veh77,141.00,106.47,E5_0
veh76,144.00,108.90,E5_0
veh78,139.00,104.61,E5_0
veh79,137.00,102.55,E5_0
veh80,135.00,100.67,E5_0
