id,duration,timeLoss,departLane
1000000,46.00,10.66,E1_0
5000001,43.00,7.47,E5_0
5000000,47.00,11.62,E5_0
5000002,42.00,6.96,E5_0
5000003,40.00,4.85,E5_0
5000004,41.00,5.69,E5_0
5000005,40.00,4.72,E5_0
5000006,41.00,6.04,E5_0
3000000,86.00,47.10,E3_0
7000000,87.00,47.82,E7_0
1000002,54.00,19.12,E1_0
1000001,58.00,22.85,E1_0
5000008,97.00,61.95,E5_0
5000007,101.00,65.63,E5_0
5000010,93.00,57.99,E5_0
5000009,96.00,60.64,E5_0
5000012,89.00,53.82,E5_0
5000011,92.00,56.73,E5_0
5000014,85.00,49.71,E5_0
5000013,88.00,52.66,E5_0
5000016,80.00,44.64,E5_0
5000015,84.00,48.72,E5_0
5000018,75.00,39.53,E5_0
5000017,79.00,43.63,E5_0
5000020,70.00,35.35,E5_0
5000019,74.00,38.72,E5_0
3000001,98.00,58.93,E3_0
3000002,95.00,56.23,E3_0
7000002,96.00,56.78,E7_0
7000001,99.00,60.12,E7_0
3000003,43.00,4.39,E3_0
7000003,44.00,4.82,E7_0
3000004,43.00,4.45,E3_0
7000004,44.00,4.89,E7_0
3000006,44.00,5.31,E3_0
3000005,104.00,65.15,E3_0
3000007,43.00,4.27,E3_0
7000006,47.00,7.85,E7_0
7000005,107.00,67.55,E7_0
7000007,46.00,7.15,E7_0
7000008,44.00,5.29,E7_0
3000008,44.00,5.40,E3_0
7000009,44.00,4.68,E7_0
3000009,44.00,4.59,E3_0
1000004,161.00,125.47,E1_0
1000003,164.00,128.56,E1_0
5000022,223.00,187.27,E5_0
5000021,227.00,191.42,E5_0
1000006,102.00,66.48,E1_0
1000005,160.00,124.83,E1_0
5000023,223.00,187.45,E5_0
1000008,98.00,62.53,E1_0
1000007,101.00,65.77,E1_0
5000024,220.00,184.43,E5_0
5000026,215.00,180.20,E5_0
5000025,219.00,183.61,E5_0
1000010,42.00,6.44,E1_0
1000009,96.00,60.72,E1_0
5000028,211.00,176.00,E5_0
5000027,215.00,179.47,E5_0
1000011,41.00,5.55,E1_0
5000029,210.00,175.16,E5_0
5000030,206.00,170.91,E5_0
3000011,49.00,10.13,E3_0
3000010,52.00,13.46,E3_0
3000013,45.00,6.32,E3_0
7000011,52.00,12.79,E7_0
7000010,55.00,15.91,E7_0
3000012,49.00,10.32,E3_0
3000014,44.00,5.19,E3_0
7000013,48.00,8.67,E7_0
7000012,51.00,11.68,E7_0
7000014,46.00,6.71,E7_0
1000013,106.00,71.04,E1_0
1000012,109.00,73.80,E1_0
5000031,274.00,238.94,E5_0
1000015,53.00,18.28,E1_0
1000014,105.00,70.01,E1_0
5000032,272.00,236.48,E5_0
1000016,52.00,17.08,E1_0
5000034,268.00,232.82,E5_0
5000033,271.00,235.87,E5_0
1000017,50.00,14.56,E1_0
1000019,45.00,10.38,E1_0
1000018,48.00,12.94,E1_0
5000035,267.00,231.80,E5_0
